call_type,arrived,aborted,answered,complete
Type 1,2020-02-15 10:44:52,,2020-02-15 10:45:07,2020-02-15 10:49:02
Type 2,2020-02-15 10:46:18,,2020-02-15 10:46:54,2020-02-15 10:49:08
Type 2,2020-02-15 10:46:46,,2020-02-15 10:47:10,2020-02-15 10:49:13
Type 1,2020-02-15 10:47:52,,2020-02-15 10:47:57,2020-02-15 10:49:20
Type 1,2020-02-15 10:47:38,,2020-02-15 10:47:56,2020-02-15 10:49:34
Type 2,2020-02-15 10:45:30,,2020-02-15 10:45:37,2020-02-15 10:49:50
Type 2,2020-02-15 10:47:28,,2020-02-15 10:47:33,2020-02-15 10:50:01
Type 1,2020-02-15 10:48:49,,2020-02-15 10:48:49,2020-02-15 10:50:05
Type 1,2020-02-15 10:48:22,,2020-02-15 10:48:27,2020-02-15 10:50:10
Type 2,2020-02-15 10:46:49,,2020-02-15 10:47:15,2020-02-15 10:50:12
Type 1,2020-02-15 10:47:05,,2020-02-15 10:47:25,2020-02-15 10:50:15
Type 1,2020-02-15 10:49:06,,2020-02-15 10:49:06,2020-02-15 10:50:19
Type 2,2020-02-15 10:46:19,,2020-02-15 10:47:03,2020-02-15 10:50:26
Type 1,2020-02-15 10:46:04,,2020-02-15 10:46:27,2020-02-15 10:50:32
Type 2,2020-02-15 10:49:23,,2020-02-15 10:49:23,2020-02-15 10:50:53
Type 2,2020-02-15 10:48:53,,2020-02-15 10:48:53,2020-02-15 10:50:59
Type 2,2020-02-15 10:48:07,,2020-02-15 10:48:07,2020-02-15 10:51:10
Type 1,2020-02-15 10:49:39,,2020-02-15 10:49:39,2020-02-15 10:51:27
Type 2,2020-02-15 10:48:29,,2020-02-15 10:48:29,2020-02-15 10:51:31
Type 2,2020-02-15 10:49:45,,2020-02-15 10:49:45,2020-02-15 10:51:43
Type 2,2020-02-15 10:47:10,,2020-02-15 10:47:27,2020-02-15 10:51:50
Type 1,2020-02-15 10:50:21,,2020-02-15 10:50:21,2020-02-15 10:52:12
Type 2,2020-02-15 10:50:29,,2020-02-15 10:50:29,2020-02-15 10:52:16
Type 2,2020-02-15 10:50:37,,2020-02-15 10:50:37,2020-02-15 10:52:26
Type 2,2020-02-15 10:51:07,,2020-02-15 10:51:07,2020-02-15 10:52:28
Type 1,2020-02-15 10:50:50,,2020-02-15 10:50:50,2020-02-15 10:52:29
Type 1,2020-02-15 10:50:48,,2020-02-15 10:50:48,2020-02-15 10:52:30
Type 1,2020-02-15 10:51:27,,2020-02-15 10:51:27,2020-02-15 10:52:30
Type 1,2020-02-15 10:50:43,,2020-02-15 10:50:43,2020-02-15 10:52:39
Type 1,2020-02-15 10:51:34,,2020-02-15 10:51:34,2020-02-15 10:53:01
Type 2,2020-02-15 10:49:49,,2020-02-15 10:49:49,2020-02-15 10:53:04
Type 2,2020-02-15 10:51:05,,2020-02-15 10:51:05,2020-02-15 10:53:10
Type 2,2020-02-15 10:48:54,,2020-02-15 10:48:54,2020-02-15 10:53:11
Type 1,2020-02-15 10:51:26,,2020-02-15 10:51:26,2020-02-15 10:53:13
Type 2,2020-02-15 10:50:11,,2020-02-15 10:50:11,2020-02-15 10:53:20
Type 2,2020-02-15 10:51:40,,2020-02-15 10:51:43,2020-02-15 10:53:53
Type 2,2020-02-15 10:51:40,,2020-02-15 10:51:50,2020-02-15 10:54:06
Type 2,2020-02-15 10:51:43,,2020-02-15 10:52:12,2020-02-15 10:54:28
Type 2,2020-02-15 10:50:32,,2020-02-15 10:50:32,2020-02-15 10:54:30
Type 1,2020-02-15 10:54:27,2020-02-15 10:54:33,,
Type 2,2020-02-15 10:51:19,,2020-02-15 10:51:19,2020-02-15 10:54:42
Type 1,2020-02-15 10:54:23,2020-02-15 10:54:46,,
Type 1,2020-02-15 10:52:13,,2020-02-15 10:52:29,2020-02-15 10:54:48
Type 2,2020-02-15 10:51:19,,2020-02-15 10:51:19,2020-02-15 10:54:48
Type 2,2020-02-15 10:53:15,,2020-02-15 10:53:15,2020-02-15 10:54:51
Type 1,2020-02-15 10:53:15,,2020-02-15 10:53:15,2020-02-15 10:54:58
Type 2,2020-02-15 10:52:37,,2020-02-15 10:52:37,2020-02-15 10:55:05
Type 2,2020-02-15 10:53:51,,2020-02-15 10:53:53,2020-02-15 10:55:06
Type 1,2020-02-15 10:53:32,,2020-02-15 10:53:32,2020-02-15 10:55:14
Type 1,2020-02-15 10:53:30,,2020-02-15 10:53:30,2020-02-15 10:55:35
Type 1,2020-02-15 10:51:55,,2020-02-15 10:52:16,2020-02-15 10:55:37
Type 1,2020-02-15 10:52:09,,2020-02-15 10:52:28,2020-02-15 10:55:45
Type 1,2020-02-15 10:52:08,,2020-02-15 10:52:26,2020-02-15 10:55:48
Type 2,2020-02-15 10:51:24,,2020-02-15 10:51:24,2020-02-15 10:55:53
Type 1,2020-02-15 10:54:02,,2020-02-15 10:54:30,2020-02-15 10:55:59
Type 2,2020-02-15 10:52:14,,2020-02-15 10:52:30,2020-02-15 10:56:02
Type 2,2020-02-15 10:53:50,,2020-02-15 10:53:50,2020-02-15 10:56:11
Type 2,2020-02-15 10:54:01,,2020-02-15 10:54:28,2020-02-15 10:56:22
Type 2,2020-02-15 10:55:20,,2020-02-15 10:55:20,2020-02-15 10:56:25
Type 1,2020-02-15 10:54:46,,2020-02-15 10:55:05,2020-02-15 10:56:43
Type 1,2020-02-15 10:54:19,,2020-02-15 10:54:48,2020-02-15 10:56:55
Type 2,2020-02-15 10:52:46,,2020-02-15 10:52:46,2020-02-15 10:57:06
Type 2,2020-02-15 10:53:25,,2020-02-15 10:53:25,2020-02-15 10:57:06
Type 2,2020-02-15 10:53:58,,2020-02-15 10:54:06,2020-02-15 10:57:10
Type 1,2020-02-15 10:56:26,,2020-02-15 10:56:26,2020-02-15 10:57:29
Type 1,2020-02-15 10:56:14,,2020-02-15 10:56:14,2020-02-15 10:57:29
Type 1,2020-02-15 10:55:31,,2020-02-15 10:55:31,2020-02-15 10:57:30
Type 2,2020-02-15 10:54:06,,2020-02-15 10:54:42,2020-02-15 10:57:33
Type 2,2020-02-15 10:56:22,,2020-02-15 10:56:22,2020-02-15 10:57:38
Type 2,2020-02-15 10:54:12,,2020-02-15 10:54:48,2020-02-15 10:57:45
Type 1,2020-02-15 10:56:16,,2020-02-15 10:56:16,2020-02-15 10:57:49
Type 2,2020-02-15 10:56:32,,2020-02-15 10:56:32,2020-02-15 10:57:49
Type 1,2020-02-15 10:57:59,2020-02-15 10:58:04,,
Type 1,2020-02-15 10:56:32,,2020-02-15 10:56:32,2020-02-15 10:58:07
Type 1,2020-02-15 10:56:59,,2020-02-15 10:57:06,2020-02-15 10:58:14
Type 2,2020-02-15 10:54:36,,2020-02-15 10:54:58,2020-02-15 10:58:16
Type 1,2020-02-15 10:56:10,,2020-02-15 10:56:10,2020-02-15 10:58:16
Type 2,2020-02-15 10:56:36,,2020-02-15 10:56:36,2020-02-15 10:58:22
Type 1,2020-02-15 10:56:34,,2020-02-15 10:56:34,2020-02-15 10:58:23
Type 1,2020-02-15 10:54:24,,2020-02-15 10:54:51,2020-02-15 10:58:25
Type 1,2020-02-15 10:57:05,,2020-02-15 10:57:29,2020-02-15 10:58:37
Type 2,2020-02-15 10:56:41,,2020-02-15 10:56:41,2020-02-15 10:58:41
Type 1,2020-02-15 10:56:47,,2020-02-15 10:56:55,2020-02-15 10:58:58
Type 2,2020-02-15 10:57:28,,2020-02-15 10:57:38,2020-02-15 10:59:13
Type 1,2020-02-15 10:57:08,,2020-02-15 10:57:29,2020-02-15 10:59:14
Type 1,2020-02-15 10:57:55,,2020-02-15 10:58:07,2020-02-15 10:59:39
Type 1,2020-02-15 10:57:43,,2020-02-15 10:57:45,2020-02-15 10:59:43
Type 1,2020-02-15 10:58:11,,2020-02-15 10:58:14,2020-02-15 10:59:54
Type 1,2020-02-15 10:58:18,,2020-02-15 10:58:18,2020-02-15 10:59:59
Type 2,2020-02-15 10:59:59,2020-02-15 11:00:05,,
Type 2,2020-02-15 11:00:03,2020-02-15 11:00:12,,
Type 1,2020-02-15 10:58:49,,2020-02-15 10:58:58,2020-02-15 11:00:32
Type 1,2020-02-15 10:58:35,,2020-02-15 10:58:37,2020-02-15 11:00:34
Type 1,2020-02-15 11:00:27,2020-02-15 11:00:35,,
Type 2,2020-02-15 10:57:03,,2020-02-15 10:57:10,2020-02-15 11:00:37
Type 2,2020-02-15 10:57:16,,2020-02-15 10:57:30,2020-02-15 11:00:38
Type 2,2020-02-15 10:57:25,,2020-02-15 10:57:33,2020-02-15 11:00:46
Type 2,2020-02-15 10:57:43,,2020-02-15 10:57:49,2020-02-15 11:00:49
Type 2,2020-02-15 10:57:02,,2020-02-15 10:57:06,2020-02-15 11:00:52
Type 2,2020-02-15 10:58:13,,2020-02-15 10:58:16,2020-02-15 11:01:01
Type 2,2020-02-15 10:58:42,,2020-02-15 10:58:42,2020-02-15 11:01:06
Type 2,2020-02-15 10:56:46,,2020-02-15 10:56:46,2020-02-15 11:01:10
Type 2,2020-02-15 10:58:21,,2020-02-15 10:58:23,2020-02-15 11:01:16
Type 1,2020-02-15 10:57:55,,2020-02-15 10:57:55,2020-02-15 11:01:17
Type 1,2020-02-15 10:59:00,,2020-02-15 10:59:14,2020-02-15 11:01:20
Type 1,2020-02-15 10:59:06,,2020-02-15 10:59:39,2020-02-15 11:01:34
Type 1,2020-02-15 10:58:20,,2020-02-15 10:58:22,2020-02-15 11:01:37
Type 1,2020-02-15 11:00:19,,2020-02-15 11:00:37,2020-02-15 11:01:48
Type 1,2020-02-15 10:58:30,,2020-02-15 10:58:30,2020-02-15 11:02:00
Type 1,2020-02-15 11:02:02,2020-02-15 11:02:18,,
Type 1,2020-02-15 10:58:56,,2020-02-15 10:59:13,2020-02-15 11:02:25
Type 1,2020-02-15 11:00:32,,2020-02-15 11:00:38,2020-02-15 11:02:33
Type 2,2020-02-15 11:00:16,,2020-02-15 11:00:34,2020-02-15 11:02:35
Type 2,2020-02-15 10:59:52,,2020-02-15 10:59:59,2020-02-15 11:02:45
Type 1,2020-02-15 11:01:14,,2020-02-15 11:01:14,2020-02-15 11:02:45
Type 2,2020-02-15 10:59:21,,2020-02-15 10:59:43,2020-02-15 11:02:52
Type 1,2020-02-15 11:01:07,,2020-02-15 11:01:07,2020-02-15 11:02:53
Type 1,2020-02-15 11:01:20,,2020-02-15 11:01:20,2020-02-15 11:02:57
Type 1,2020-02-15 11:00:51,,2020-02-15 11:00:51,2020-02-15 11:03:06
Type 2,2020-02-15 11:00:34,,2020-02-15 11:00:46,2020-02-15 11:03:19
Type 1,2020-02-15 11:01:25,,2020-02-15 11:01:34,2020-02-15 11:03:28
Type 2,2020-02-15 11:03:23,2020-02-15 11:03:29,,
Type 1,2020-02-15 11:03:17,2020-02-15 11:03:49,,
Type 2,2020-02-15 11:01:35,,2020-02-15 11:02:25,2020-02-15 11:03:58
Type 1,2020-02-15 11:03:28,2020-02-15 11:03:58,,
Type 1,2020-02-15 11:03:14,2020-02-15 11:04:02,,
Type 2,2020-02-15 11:03:28,2020-02-15 11:04:02,,
Type 2,2020-02-15 10:59:30,,2020-02-15 10:59:54,2020-02-15 11:04:03
Type 2,2020-02-15 11:00:14,,2020-02-15 11:00:32,2020-02-15 11:04:07
Type 1,2020-02-15 11:01:40,,2020-02-15 11:02:33,2020-02-15 11:04:08
Type 2,2020-02-15 11:00:51,,2020-02-15 11:00:52,2020-02-15 11:04:10
Type 1,2020-02-15 11:04:01,2020-02-15 11:04:17,,
Type 1,2020-02-15 11:01:19,,2020-02-15 11:01:19,2020-02-15 11:04:30
Type 1,2020-02-15 11:02:43,,2020-02-15 11:02:53,2020-02-15 11:04:36
Type 1,2020-02-15 11:02:44,,2020-02-15 11:02:57,2020-02-15 11:04:37
Type 2,2020-02-15 11:01:17,,2020-02-15 11:01:17,2020-02-15 11:04:40
Type 1,2020-02-15 11:02:33,,2020-02-15 11:02:45,2020-02-15 11:04:53
Type 2,2020-02-15 11:04:57,2020-02-15 11:04:58,,
Type 1,2020-02-15 11:02:54,,2020-02-15 11:03:06,2020-02-15 11:05:05
Type 1,2020-02-15 11:01:15,,2020-02-15 11:01:15,2020-02-15 11:05:08
Type 1,2020-02-15 11:01:27,,2020-02-15 11:01:37,2020-02-15 11:05:10
Type 2,2020-02-15 11:01:29,,2020-02-15 11:01:48,2020-02-15 11:05:11
Type 2,2020-02-15 11:05:09,2020-02-15 11:05:12,,
Type 1,2020-02-15 11:05:18,2020-02-15 11:05:20,,
Type 1,2020-02-15 11:01:30,,2020-02-15 11:02:00,2020-02-15 11:05:27
Type 2,2020-02-15 11:05:26,2020-02-15 11:05:37,,
Type 1,2020-02-15 11:04:10,,2020-02-15 11:04:36,2020-02-15 11:05:38
Type 2,2020-02-15 11:05:36,2020-02-15 11:05:39,,
Type 2,2020-02-15 11:05:41,2020-02-15 11:05:48,,
Type 1,2020-02-15 11:05:39,2020-02-15 11:05:49,,
Type 1,2020-02-15 11:03:39,,2020-02-15 11:04:08,2020-02-15 11:05:50
Type 1,2020-02-15 11:05:43,2020-02-15 11:05:53,,
Type 1,2020-02-15 11:03:42,,2020-02-15 11:04:10,2020-02-15 11:05:58
Type 2,2020-02-15 11:05:53,2020-02-15 11:06:01,,
Type 2,2020-02-15 11:02:41,,2020-02-15 11:02:52,2020-02-15 11:06:01
Type 2,2020-02-15 11:05:30,2020-02-15 11:06:01,,
Type 2,2020-02-15 11:01:47,,2020-02-15 11:02:45,2020-02-15 11:06:08
Type 1,2020-02-15 11:05:45,2020-02-15 11:06:08,,
Type 1,2020-02-15 11:04:53,,2020-02-15 11:05:11,2020-02-15 11:06:18
Type 1,2020-02-15 11:04:25,,2020-02-15 11:04:40,2020-02-15 11:06:28
Type 1,2020-02-15 11:04:15,,2020-02-15 11:04:37,2020-02-15 11:06:31
Type 1,2020-02-15 11:06:26,2020-02-15 11:06:53,,
Type 2,2020-02-15 11:01:44,,2020-02-15 11:02:35,2020-02-15 11:07:05
Type 1,2020-02-15 11:05:10,,2020-02-15 11:05:38,2020-02-15 11:07:13
Type 2,2020-02-15 11:03:01,,2020-02-15 11:03:28,2020-02-15 11:07:15
Type 1,2020-02-15 11:04:36,,2020-02-15 11:05:05,2020-02-15 11:07:17
Type 2,2020-02-15 11:03:35,,2020-02-15 11:04:07,2020-02-15 11:07:17
Type 1,2020-02-15 11:07:07,2020-02-15 11:07:18,,
Type 1,2020-02-15 11:05:05,,2020-02-15 11:05:27,2020-02-15 11:07:22
Type 2,2020-02-15 11:04:43,,2020-02-15 11:05:08,2020-02-15 11:07:24
Type 2,2020-02-15 11:03:00,,2020-02-15 11:03:19,2020-02-15 11:07:29
Type 2,2020-02-15 11:07:29,2020-02-15 11:07:29,,
Type 1,2020-02-15 11:03:08,,2020-02-15 11:03:58,2020-02-15 11:07:34
Type 1,2020-02-15 11:06:02,,2020-02-15 11:06:31,2020-02-15 11:07:43
Type 1,2020-02-15 11:03:51,,2020-02-15 11:04:30,2020-02-15 11:07:45
Type 1,2020-02-15 11:05:54,,2020-02-15 11:06:28,2020-02-15 11:07:51
Type 2,2020-02-15 11:03:17,,2020-02-15 11:04:03,2020-02-15 11:08:13
Type 2,2020-02-15 11:07:58,2020-02-15 11:08:13,,
Type 2,2020-02-15 11:04:30,,2020-02-15 11:04:53,2020-02-15 11:08:14
Type 2,2020-02-15 11:07:56,2020-02-15 11:08:15,,
Type 1,2020-02-15 11:05:11,,2020-02-15 11:05:50,2020-02-15 11:08:17
Type 1,2020-02-15 11:06:13,,2020-02-15 11:07:05,2020-02-15 11:08:17
Type 2,2020-02-15 11:07:51,2020-02-15 11:08:22,,
Type 2,2020-02-15 11:08:05,2020-02-15 11:08:32,,
Type 1,2020-02-15 11:05:52,,2020-02-15 11:06:18,2020-02-15 11:08:42
Type 2,2020-02-15 11:07:13,,2020-02-15 11:07:24,2020-02-15 11:08:52
Type 1,2020-02-15 11:08:29,2020-02-15 11:08:53,,
Type 2,2020-02-15 11:07:12,,2020-02-15 11:07:22,2020-02-15 11:08:54
Type 2,2020-02-15 11:05:23,,2020-02-15 11:06:01,2020-02-15 11:08:59
Type 2,2020-02-15 11:05:15,,2020-02-15 11:05:58,2020-02-15 11:09:05
Type 1,2020-02-15 11:06:30,,2020-02-15 11:07:17,2020-02-15 11:09:08
Type 2,2020-02-15 11:07:38,,2020-02-15 11:07:45,2020-02-15 11:09:12
Type 1,2020-02-15 11:04:48,,2020-02-15 11:05:10,2020-02-15 11:09:17
Type 1,2020-02-15 11:07:41,,2020-02-15 11:07:51,2020-02-15 11:09:18
Type 1,2020-02-15 11:06:40,,2020-02-15 11:07:17,2020-02-15 11:09:31
Type 1,2020-02-15 11:07:34,,2020-02-15 11:07:43,2020-02-15 11:09:34
Type 1,2020-02-15 11:08:20,,2020-02-15 11:08:42,2020-02-15 11:09:39
Type 2,2020-02-15 11:07:17,,2020-02-15 11:07:29,2020-02-15 11:09:46
Type 1,2020-02-15 11:09:59,2020-02-15 11:10:02,,
Type 1,2020-02-15 11:07:49,,2020-02-15 11:08:17,2020-02-15 11:10:06
Type 2,2020-02-15 11:05:29,,2020-02-15 11:06:08,2020-02-15 11:10:07
Type 2,2020-02-15 11:08:25,,2020-02-15 11:08:52,2020-02-15 11:10:12
Type 1,2020-02-15 11:08:49,,2020-02-15 11:08:59,2020-02-15 11:10:32
Type 1,2020-02-15 11:08:56,,2020-02-15 11:09:05,2020-02-15 11:10:34
Type 1,2020-02-15 11:07:32,,2020-02-15 11:07:34,2020-02-15 11:10:39
Type 2,2020-02-15 11:08:33,,2020-02-15 11:08:54,2020-02-15 11:10:40
Type 2,2020-02-15 11:06:18,,2020-02-15 11:07:15,2020-02-15 11:10:46
Type 2,2020-02-15 11:09:42,,2020-02-15 11:09:42,2020-02-15 11:10:56
Type 1,2020-02-15 11:09:29,,2020-02-15 11:09:29,2020-02-15 11:11:00
Type 2,2020-02-15 11:10:56,2020-02-15 11:11:01,,
Type 1,2020-02-15 11:09:06,,2020-02-15 11:09:08,2020-02-15 11:11:06
Type 2,2020-02-15 11:06:14,,2020-02-15 11:07:13,2020-02-15 11:11:12
Type 2,2020-02-15 11:09:33,,2020-02-15 11:09:33,2020-02-15 11:11:20
Type 1,2020-02-15 11:09:43,,2020-02-15 11:09:43,2020-02-15 11:11:22
Type 2,2020-02-15 11:07:45,,2020-02-15 11:08:13,2020-02-15 11:11:34
Type 1,2020-02-15 11:09:33,,2020-02-15 11:09:33,2020-02-15 11:11:34
Type 1,2020-02-15 11:09:44,,2020-02-15 11:09:44,2020-02-15 11:11:48
Type 2,2020-02-15 11:07:46,,2020-02-15 11:08:17,2020-02-15 11:11:52
Type 2,2020-02-15 11:07:45,,2020-02-15 11:08:14,2020-02-15 11:11:55
Type 2,2020-02-15 11:09:47,,2020-02-15 11:09:47,2020-02-15 11:12:02
Type 1,2020-02-15 11:10:25,,2020-02-15 11:10:32,2020-02-15 11:12:03
Type 1,2020-02-15 11:10:29,,2020-02-15 11:10:34,2020-02-15 11:12:21
Type 1,2020-02-15 11:12:04,2020-02-15 11:12:28,,
Type 2,2020-02-15 11:10:47,,2020-02-15 11:10:56,2020-02-15 11:12:41
Type 2,2020-02-15 11:12:58,2020-02-15 11:12:59,,
Type 2,2020-02-15 11:11:23,,2020-02-15 11:11:23,2020-02-15 11:13:01
Type 2,2020-02-15 11:12:18,2020-02-15 11:13:01,,
Type 1,2020-02-15 11:12:39,2020-02-15 11:13:02,,
Type 1,2020-02-15 11:12:44,2020-02-15 11:13:05,,
Type 1,2020-02-15 11:11:26,,2020-02-15 11:11:26,2020-02-15 11:13:09
Type 1,2020-02-15 11:10:32,,2020-02-15 11:10:39,2020-02-15 11:13:23
Type 1,2020-02-15 11:11:55,,2020-02-15 11:12:02,2020-02-15 11:13:23
Type 2,2020-02-15 11:13:07,2020-02-15 11:13:26,,
Type 1,2020-02-15 11:13:14,2020-02-15 11:13:30,,
Type 1,2020-02-15 11:11:41,,2020-02-15 11:11:41,2020-02-15 11:13:33
Type 2,2020-02-15 11:12:28,2020-02-15 11:13:35,,
Type 1,2020-02-15 11:13:31,2020-02-15 11:13:38,,
Type 2,2020-02-15 11:13:19,2020-02-15 11:13:39,,
Type 1,2020-02-15 11:13:29,2020-02-15 11:13:41,,
Type 1,2020-02-15 11:11:45,,2020-02-15 11:11:48,2020-02-15 11:13:54
Type 1,2020-02-15 11:13:14,2020-02-15 11:13:58,,
Type 2,2020-02-15 11:10:04,,2020-02-15 11:10:06,2020-02-15 11:14:00
Type 1,2020-02-15 11:13:52,2020-02-15 11:14:01,,
Type 1,2020-02-15 11:10:22,,2020-02-15 11:10:22,2020-02-15 11:14:02
Type 2,2020-02-15 11:13:13,2020-02-15 11:14:11,,
Type 2,2020-02-15 11:10:53,,2020-02-15 11:11:06,2020-02-15 11:14:27
Type 1,2020-02-15 11:10:44,,2020-02-15 11:10:44,2020-02-15 11:14:30
Type 2,2020-02-15 11:13:54,2020-02-15 11:14:33,,
Type 1,2020-02-15 11:12:00,,2020-02-15 11:12:21,2020-02-15 11:14:35
Type 1,2020-02-15 11:12:23,,2020-02-15 11:13:33,2020-02-15 11:14:37
Type 2,2020-02-15 11:14:30,2020-02-15 11:14:41,,
Type 2,2020-02-15 11:11:18,,2020-02-15 11:11:18,2020-02-15 11:14:48
Type 2,2020-02-15 11:10:12,,2020-02-15 11:10:12,2020-02-15 11:14:50
Type 2,2020-02-15 11:10:48,,2020-02-15 11:11:00,2020-02-15 11:14:52
Type 1,2020-02-15 11:12:01,,2020-02-15 11:12:41,2020-02-15 11:14:55
Type 2,2020-02-15 11:10:46,,2020-02-15 11:10:46,2020-02-15 11:15:00
Type 2,2020-02-15 11:15:05,2020-02-15 11:15:18,,
Type 2,2020-02-15 11:14:57,2020-02-15 11:15:28,,
Type 2,2020-02-15 11:11:57,,2020-02-15 11:12:03,2020-02-15 11:15:32
Type 1,2020-02-15 11:13:01,,2020-02-15 11:14:00,2020-02-15 11:15:38
Type 1,2020-02-15 11:13:11,,2020-02-15 11:14:35,2020-02-15 11:15:42
Type 2,2020-02-15 11:11:47,,2020-02-15 11:11:52,2020-02-15 11:15:47
Type 1,2020-02-15 11:12:02,,2020-02-15 11:13:01,2020-02-15 11:15:51
Type 1,2020-02-15 11:12:31,,2020-02-15 11:13:54,2020-02-15 11:15:56
Type 2,2020-02-15 11:13:07,,2020-02-15 11:14:30,2020-02-15 11:16:10
Type 2,2020-02-15 11:11:52,,2020-02-15 11:11:55,2020-02-15 11:16:12
Type 2,2020-02-15 11:11:36,,2020-02-15 11:11:36,2020-02-15 11:16:23
Type 1,2020-02-15 11:13:50,,2020-02-15 11:14:48,2020-02-15 11:16:25
Type 1,2020-02-15 11:12:15,,2020-02-15 11:13:23,2020-02-15 11:16:30
Type 2,2020-02-15 11:12:04,,2020-02-15 11:13:09,2020-02-15 11:16:33
Type 1,2020-02-15 11:15:24,,2020-02-15 11:15:47,2020-02-15 11:16:42
Type 2,2020-02-15 11:14:10,,2020-02-15 11:14:55,2020-02-15 11:16:48
Type 1,2020-02-15 11:14:24,,2020-02-15 11:15:00,2020-02-15 11:16:55
Type 1,2020-02-15 11:15:04,,2020-02-15 11:15:42,2020-02-15 11:16:58
Type 2,2020-02-15 11:13:46,,2020-02-15 11:14:37,2020-02-15 11:16:58
Type 2,2020-02-15 11:16:08,,2020-02-15 11:16:10,2020-02-15 11:17:18
Type 1,2020-02-15 11:13:03,,2020-02-15 11:14:02,2020-02-15 11:17:19
Type 2,2020-02-15 11:13:04,,2020-02-15 11:14:27,2020-02-15 11:17:27
Type 1,2020-02-15 11:14:30,,2020-02-15 11:15:32,2020-02-15 11:17:39
Type 2,2020-02-15 11:12:19,,2020-02-15 11:13:23,2020-02-15 11:17:42
Type 2,2020-02-15 11:14:04,,2020-02-15 11:14:52,2020-02-15 11:17:45
Type 1,2020-02-15 11:16:21,,2020-02-15 11:16:23,2020-02-15 11:17:48
Type 2,2020-02-15 11:14:02,,2020-02-15 11:14:50,2020-02-15 11:17:48
Type 2,2020-02-15 11:15:58,,2020-02-15 11:15:58,2020-02-15 11:17:54
Type 2,2020-02-15 11:18:12,2020-02-15 11:18:12,,
Type 1,2020-02-15 11:17:01,,2020-02-15 11:17:01,2020-02-15 11:18:14
Type 1,2020-02-15 11:16:29,,2020-02-15 11:16:29,2020-02-15 11:18:15
Type 2,2020-02-15 11:16:54,,2020-02-15 11:16:54,2020-02-15 11:18:32
Type 2,2020-02-15 11:16:15,,2020-02-15 11:16:15,2020-02-15 11:18:47
Type 2,2020-02-15 11:14:50,,2020-02-15 11:15:38,2020-02-15 11:18:58
Type 1,2020-02-15 11:18:58,2020-02-15 11:19:10,,
Type 1,2020-02-15 11:16:29,,2020-02-15 11:16:30,2020-02-15 11:19:12
Type 2,2020-02-15 11:17:54,,2020-02-15 11:17:54,2020-02-15 11:19:15
Type 1,2020-02-15 11:18:14,,2020-02-15 11:18:14,2020-02-15 11:19:16
Type 1,2020-02-15 11:17:26,,2020-02-15 11:17:26,2020-02-15 11:19:18
Type 1,2020-02-15 11:17:28,,2020-02-15 11:17:28,2020-02-15 11:19:19
Type 1,2020-02-15 11:18:15,,2020-02-15 11:18:15,2020-02-15 11:19:20
Type 1,2020-02-15 11:17:20,,2020-02-15 11:17:20,2020-02-15 11:19:24
Type 1,2020-02-15 11:17:55,,2020-02-15 11:17:55,2020-02-15 11:19:40
Type 1,2020-02-15 11:18:11,,2020-02-15 11:18:11,2020-02-15 11:19:42
Type 2,2020-02-15 11:17:31,,2020-02-15 11:17:39,2020-02-15 11:20:14
Type 2,2020-02-15 11:17:03,,2020-02-15 11:17:03,2020-02-15 11:20:22
Type 2,2020-02-15 11:16:01,,2020-02-15 11:16:01,2020-02-15 11:20:23
Type 2,2020-02-15 11:17:39,,2020-02-15 11:17:42,2020-02-15 11:20:30
Type 1,2020-02-15 11:17:29,,2020-02-15 11:17:29,2020-02-15 11:20:40
Type 1,2020-02-15 11:19:32,,2020-02-15 11:19:32,2020-02-15 11:20:41
Type 2,2020-02-15 11:18:18,,2020-02-15 11:18:32,2020-02-15 11:20:42
Type 1,2020-02-15 11:19:11,,2020-02-15 11:19:18,2020-02-15 11:20:47
Type 2,2020-02-15 11:17:59,,2020-02-15 11:17:59,2020-02-15 11:20:55
Type 2,2020-02-15 11:18:52,,2020-02-15 11:19:12,2020-02-15 11:20:57
Type 2,2020-02-15 11:21:05,2020-02-15 11:21:14,,
Type 2,2020-02-15 11:16:34,,2020-02-15 11:16:34,2020-02-15 11:21:22
Type 1,2020-02-15 11:19:22,,2020-02-15 11:19:22,2020-02-15 11:21:23
Type 2,2020-02-15 11:21:25,2020-02-15 11:21:30,,
Type 1,2020-02-15 11:19:07,,2020-02-15 11:19:16,2020-02-15 11:21:31
Type 1,2020-02-15 11:19:13,,2020-02-15 11:19:19,2020-02-15 11:21:34
Type 1,2020-02-15 11:17:31,,2020-02-15 11:17:31,2020-02-15 11:21:36
Type 1,2020-02-15 11:21:24,2020-02-15 11:21:43,,
Type 1,2020-02-15 11:18:58,,2020-02-15 11:19:15,2020-02-15 11:21:48
Type 2,2020-02-15 11:18:32,,2020-02-15 11:18:47,2020-02-15 11:21:53
Type 1,2020-02-15 11:20:55,,2020-02-15 11:20:55,2020-02-15 11:21:59
Type 1,2020-02-15 11:20:22,,2020-02-15 11:20:30,2020-02-15 11:22:12
Type 2,2020-02-15 11:21:51,2020-02-15 11:22:12,,
Type 1,2020-02-15 11:22:01,2020-02-15 11:22:14,,
Type 2,2020-02-15 11:21:41,2020-02-15 11:22:17,,
Type 1,2020-02-15 11:21:47,2020-02-15 11:22:17,,
